#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#,,,,,,,,,
gun_2_x3_russia_dd,,51,gun_2_x3,russia,"dd, tb",pen_gun_127_x3,0.45,0.665,0.55,1.4,dreadnought_gun_178_x3,0.34,0.5,0.55,2.16,iowa_gun_127_x3,0.5,0.72,0.55,1.8,iowa_gun_127_x3,0.5,0.72,0.55,1.8,iowa_gun_127_x3,0.5,0.72,0.55,1.8,,,,,,,,,,,,,,,,,,,
gun_2_x4_russia_dd,,51,gun_2_x4,russia,"dd, tb",,,,0.5,,dreadnought_gun_178_x4,0.34,0.5,0.5,2.16,iowa_gun_127_x4,0.5,0.72,0.5,1.8,iowa_gun_127_x4,0.5,0.72,0.5,1.8,iowa_gun_127_x4,0.5,0.72,0.5,1.8,,,,,,,,,,,,,,,,,,,
gun_3_x1_russia_dd,,76,gun_3_x1,russia,"dd, tb",,,,,,dido_gun_cal200_x1,0.33,0.41,1.45,2.14,dido_gun_cal200_x1,0.33,0.41,1.45,2.14,dido_gun_cal200_x1,0.33,0.41,1.45,2.14,dido_gun_cal200_x1,0.33,0.41,1.45,2.14,,,,,,,,,,,,,,,,,,,
gun_3_x2_russia_dd,,76,gun_3_x2,russia,"dd, tb",,,,,,dido_gun_cal200_x2,0.33,0.41,1.08,2.14,dido_gun_cal200_x2,0.33,0.41,1.08,2.14,dido_gun_cal200_x2,0.33,0.41,1.08,2.14,dido_gun_cal200_x2,0.33,0.41,1.08,2.14,,,,,,,,,,,,,,,,,,,
gun_3_x3_russia_dd,,76,gun_3_x3,russia,"dd, tb",,,,,,dido_gun_cal200_x3,0.33,0.41,0.83,2.14,dido_gun_cal200_x3,0.33,0.41,0.83,2.14,dido_gun_cal200_x3,0.33,0.41,0.83,2.14,dido_gun_cal200_x3,0.33,0.41,0.83,2.14,,,,,,,,,,,,,,,,,,,
gun_3_x4_russia_dd,,76,gun_3_x4,russia,"dd, tb",,,,,,dido_gun_cal200_x4,0.33,0.41,0.74,2.14,dido_gun_cal200_x4,0.33,0.41,0.74,2.14,dido_gun_cal200_x4,0.33,0.41,0.74,2.14,dido_gun_cal200_x4,0.33,0.41,0.74,2.14,,,,,,,,,,,,,,,,,,,
gun_4_x1_russia_dd,,102,gun_4_x1,russia,"dd, tb",,,,,,dd_s_gun_b_102_x1,0.8,0.98,1.1,1.94,dd_s_gun_b_102_x1,0.8,0.98,1.1,1.94,dd_s_gun_b_102_x1,0.8,0.98,1.1,1.94,dd_s_gun_b_102_x1,0.8,0.98,1.1,1.94,,,,,,,,,,,,,,,,,,,
gun_4_x2_russia_dd,,102,gun_4_x2,russia,"dd, tb",,,,,,akizuki_gun_b_127_x2,0.72,0.89,1.28,1.8,akizuki_gun_b_127_x2,0.72,0.89,1.28,1.8,akizuki_gun_127_x2,0.56,0.69,1.28,2.54,akizuki_gun_127_x2,0.56,0.69,1.28,2.54,,,,,,,,,,,,,,,,,,,
gun_4_x3_russia_dd,,102,gun_4_x3,russia,"dd, tb",,,,,,akizuki_gun_b_127_x3,0.72,0.89,1,1.8,akizuki_gun_b_127_x3,0.72,0.89,1,1.8,akizuki_gun_127_x3,0.56,0.69,1,2.54,akizuki_gun_127_x3,0.56,0.69,1,2.54,,,,,,,,,,,,,,,,,,,
gun_4_x4_russia_dd,,102,gun_4_x4,russia,"dd, tb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_5_x1_russia_dd,,127,gun_5_x1,russia,"dd, tb",,,,,,dd_s_gun_b_102_x1,1,1.18,0.85,1.52,dd_s_gun_b_102_x1,1,1.18,0.85,1.52,dd_s_gun_b_102_x1,1,1.18,0.85,1.52,dd_s_gun_b_102_x1,1,1.18,0.85,1.52,,,,,,,,,,,,,,,,,,,
gun_5_x2_russia_dd,,127,gun_5_x2,russia,"dd, tb",,,,,,akizuki_gun_b_127_x2,0.9,1.07,0.95,1.4,akizuki_gun_b_127_x2,0.9,1.07,0.95,1.4,akizuki_gun_127_x2,0.7,0.83,0.95,1.96,akizuki_gun_127_x2,0.7,0.83,0.95,1.96,,,,,,,,,,,,,,,,,,,
gun_5_x3_russia_dd,,127,gun_5_x3,russia,"dd, tb",,,,,,akizuki_gun_b_127_x3,0.9,1.07,0.75,1.4,akizuki_gun_b_127_x3,0.9,1.07,0.75,1.4,akizuki_gun_127_x3,0.7,0.83,0.75,1.96,akizuki_gun_127_x3,0.7,0.83,0.75,1.96,,,,,,,,,,,,,,,,,,,
gun_5_x4_russia_dd,,127,gun_5_x4,russia,"dd, tb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_3_x1_russia_cl,,76,gun_3_x1,russia,cl,,,,,,pen_gun_127_x1,0.675,0.89,1.45,1.26,dido_gun_cal200_x1,0.33,0.41,1.45,2.14,ussr_gun_50_x1,0.9,1.17,1.45,1.9,ussr_gun_50_x1,0.9,1.17,1.45,1.9,,,,,,,,,,,,,,,,,,,
gun_3_x2_russia_cl,,76,gun_3_x2,russia,cl,bouvet_gun_138_x2,0.39,0.51,1.08,2.88,pen_gun_127_x2,0.675,0.89,1.08,1.26,dido_gun_cal200_x2,0.33,0.41,1.08,2.14,ussr_gun_50_x2,0.9,1.17,1.08,1.9,ussr_gun_50_x2,0.9,1.17,1.08,1.9,,,,,,,,,,,,,,,,,,,
gun_3_x3_russia_cl,,76,gun_3_x3,russia,cl,,,,,,pen_gun_127_x3,0.675,0.89,0.83,1.18,dido_gun_cal200_x3,0.33,0.41,0.83,2.14,ussr_gun_50_x3,0.9,1.17,0.83,1.84,ussr_gun_50_x3,0.9,1.17,0.83,1.84,,,,,,,,,,,,,,,,,,,
gun_3_x4_russia_cl,,76,gun_3_x4,russia,cl,,,,,,,,,0.74,,dido_gun_cal200_x4,0.33,0.41,0.74,2.14,ussr_gun_50_x4,0.9,1.17,0.74,1.84,ussr_gun_50_x4,0.9,1.17,0.74,1.84,,,,,,,,,,,,,,,,,,,
gun_4_x1_russia_cl,,102,gun_4_x1,russia,cl,,,,,,moga_gun_127_x1,1.2,1.47,1.7,1.06,moga_gun_127_x1,1.2,1.47,1.7,1.06,ussr_gun_100_x1,0.75,0.87,1.7,2.23,ussr_gun_100_x1,0.75,0.87,1.7,2.23,,,,,,,,,,,,,,,,,,,
gun_4_x2_russia_cl,,102,gun_4_x2,russia,cl,tsesarevich_gun_152_x2,0.75,0.87,1.28,1.5,moga_gun_127_x2,1.2,1.47,1.28,1.06,moga_gun_127_x2,1.2,1.47,1.28,1.06,ussr_gun_100_x2,0.75,0.87,1.28,2.23,ussr_gun_100_x2,0.75,0.87,1.28,2.23,,,,,,,,,,,,,,,,,,,
gun_4_x3_russia_cl,,102,gun_4_x3,russia,cl,tsesarevich_gun_152_x3,0.75,0.87,1,1.5,moga_gun_127_x3,1.2,1.47,1,1.06,moga_gun_127_x3,1.2,1.47,1,1.06,ussr_gun_100_x3,0.75,0.87,1,2.23,ussr_gun_100_x3,0.75,0.87,1,2.23,,,,,,,,,,,,,,,,,,,
gun_4_x4_russia_cl,,102,gun_4_x4,russia,cl,,,,0.85,,pola_gun_100_x4,1,1.23,0.85,1.52,pola_gun_100_x4,1,1.23,0.85,1.52,bismarck_gun_150_x4,0.6,0.7,0.85,2.23,bismarck_gun_150_x4,0.6,0.7,0.85,2.23,,,,,,,,,,,,,,,,,,,
gun_5_x1_russia_cl,,127,gun_5_x1,russia,cl,,,,,,spee_gun_150_x1,0.875,1.04,1.25,1.48,spee_gun_150_x1,0.875,1.04,1.25,1.48,ussr_gun_100_x1,0.875,1.045,1.25,1.85,ussr_gun_100_x1,0.875,1.045,1.25,1.85,,,,,,,,,,,,,,,,,,,
gun_5_x2_russia_cl,,127,gun_5_x2,russia,cl,tsesarevich_gun_152_x2,0.875,1.045,0.95,1.26,spee_gun_150_x2,0.875,1.04,0.95,1.48,spee_gun_150_x2,0.875,1.04,0.95,1.48,ussr_gun_100_x2,0.875,1.045,0.95,1.85,ussr_gun_100_x2,0.875,1.045,0.95,1.85,,,,,,,,,,,,,,,,,,,
gun_5_x3_russia_cl,,127,gun_5_x3,russia,cl,tsesarevich_gun_152_x3,0.875,1.045,0.75,1.26,spee_gun_150_x3,0.875,1.04,0.75,1.48,spee_gun_150_x3,0.875,1.04,0.75,1.48,ussr_gun_100_x3,0.875,1.045,0.75,1.85,ussr_gun_100_x3,0.875,1.045,0.75,1.85,,,,,,,,,,,,,,,,,,,
gun_5_x4_russia_cl,,127,gun_5_x4,russia,cl,,,,0.68,,,,,0.68,,,,,0.68,,bismarck_gun_150_x4,0.725,0.8,0.68,1.855,bismarck_gun_150_x4,0.725,0.8,0.68,1.855,,,,,,,,,,,,,,,,,,,
gun_6_x1_russia_cl,,152,gun_6_x1,russia,cl,,,,,,spee_gun_150_x1,1.05,1.215,1.185,1.4,spee_gun_150_x1,1.05,1.215,1.185,1.4,mont_gun_152_x1,1.050,1.22,1.185,1.28,mont_gun_152_x1,1.050,1.22,1.185,1.28,,,,,,,,,,,,,,,,,,,
gun_6_x2_russia_cl,,152,gun_6_x2,russia,cl,tsesarevich_gun_152_x2,1.050,1.22,0.86,1.2,spee_gun_150_x2,1.05,1.215,0.86,1.4,spee_gun_150_x2,1.05,1.215,0.86,1.4,mont_gun_152_x2,1.050,1.22,0.86,1.28,mont_gun_152_x2,1.050,1.22,0.86,1.28,,,,,,,,,,,,,,,,,,,
gun_6_x3_russia_cl,,152,gun_6_x3,russia,cl,tsesarevich_gun_152_x3,1.050,1.22,0.66,1.2,spee_gun_150_x3,1.05,1.215,0.66,1.4,spee_gun_150_x3,1.05,1.215,0.66,1.4,mont_gun_152_x3,1.050,1.22,0.66,1.28,mont_gun_152_x3,1.050,1.22,0.66,1.28,,,,,,,,,,,,,,,,,,,
gun_6_x4_russia_cl,,152,gun_6_x4,russia,cl,,,,,,,,,,,,,,,,mont_gun_152_x4,1.050,1.22,0.6,1.28,mont_gun_152_x4,1.050,1.22,0.6,1.28,,,,,,,,,,,,,,,,,,,
"gun_3_x1_russia_ca,bb,bc",,76,gun_3_x1,russia,"ca, bb, bc",bouvet_gun_138_x1,0.39,0.51,1.45,2.96,pen_gun_127_x1,0.675,0.89,1.45,1.26,dido_gun_cal200_x1,0.33,0.41,1.45,2.14,ussr_gun_50_x1,0.9,1.17,1.45,1.9,ussr_gun_50_x1,0.9,1.17,1.45,1.9,,,,,,,,,,,,,,,,,,,
"gun_3_x2_russia_ca,bb,bc",,76,gun_3_x2,russia,"ca, bb, bc",bouvet_gun_138_x2,0.39,0.51,1.08,2.88,pen_gun_127_x2,0.675,0.89,1.08,1.26,dido_gun_cal200_x2,0.33,0.41,1.08,2.14,ussr_gun_50_x2,0.9,1.17,1.08,1.9,ussr_gun_50_x2,0.9,1.17,1.08,1.9,,,,,,,,,,,,,,,,,,,
"gun_3_x3_russia_ca,bb,bc",,76,gun_3_x3,russia,"ca, bb, bc",,,,,,pen_gun_127_x3,0.675,0.89,0.83,1.18,dido_gun_cal200_x3,0.33,0.41,0.83,2.14,ussr_gun_50_x3,0.9,1.17,0.83,1.84,ussr_gun_50_x3,0.9,1.17,0.83,1.84,,,,,,,,,,,,,,,,,,,
"gun_3_x4_russia_ca,bb,bc",,76,gun_3_x4,russia,"ca, bb, bc",,,,,,,,,0.74,,dido_gun_cal200_x4,0.33,0.41,0.74,2.14,ussr_gun_50_x4,0.9,1.17,0.74,1.84,ussr_gun_50_x4,0.9,1.17,0.74,1.84,,,,,,,,,,,,,,,,,,,
"gun_4_x1_russia_ca,bb,bc",,102,gun_4_x1,russia,"ca, bb, bc",tsesarevich_gun_152_x1,0.75,0.87,1.7,1.5,moga_gun_127_x1,1.2,1.47,1.7,1.06,moga_gun_127_x1,1.2,1.47,1.7,1.06,ussr_gun_100_x1,0.75,0.87,1.7,2.23,ussr_gun_100_x1,0.75,0.87,1.7,2.23,,,,,,,,,,,,,,,,,,,
"gun_4_x2_russia_ca,bb,bc",,102,gun_4_x2,russia,"ca, bb, bc",tsesarevich_gun_152_x2,0.75,0.87,1.28,1.5,moga_gun_127_x2,1.2,1.47,1.28,1.06,moga_gun_127_x2,1.2,1.47,1.28,1.06,ussr_gun_100_x2,0.75,0.87,1.28,2.23,ussr_gun_100_x2,0.75,0.87,1.28,2.23,,,,,,,,,,,,,,,,,,,
"gun_4_x3_russia_ca,bb,bc",,102,gun_4_x3,russia,"ca, bb, bc",tsesarevich_gun_152_x3,0.75,0.87,1,1.5,moga_gun_127_x3,1.2,1.47,1,1.06,moga_gun_127_x3,1.2,1.47,1,1.06,ussr_gun_100_x3,0.75,0.87,1,2.23,ussr_gun_100_x3,0.75,0.87,1,2.23,,,,,,,,,,,,,,,,,,,
"gun_4_x4_russia_ca,bb,bc",,102,gun_4_x4,russia,"ca, bb, bc",,,,0.85,,pola_gun_100_x4,1,1.23,0.85,1.52,pola_gun_100_x4,1,1.23,0.85,1.52,bismarck_gun_150_x4,0.6,0.7,0.85,2.23,bismarck_gun_150_x4,0.6,0.7,0.85,2.23,,,,,,,,,,,,,,,,,,,
"gun_5_x1_russia_ca,bb,bc",,127,gun_5_x1,russia,"ca, bb, bc",tsesarevich_gun_152_x1,0.875,1.045,1.25,1.26,spee_gun_150_x1,0.875,1.04,1.25,1.48,spee_gun_150_x1,0.875,1.04,1.25,1.48,ussr_gun_100_x1,0.875,1.045,1.25,1.85,ussr_gun_100_x1,0.875,1.045,1.25,1.85,,,,,,,,,,,,,,,,,,,
"gun_5_x2_russia_ca,bb,bc",,127,gun_5_x2,russia,"ca, bb, bc",tsesarevich_gun_152_x2,0.875,1.045,0.95,1.26,spee_gun_150_x2,0.875,1.04,0.95,1.48,spee_gun_150_x2,0.875,1.04,0.95,1.48,ussr_gun_100_x2,0.875,1.045,0.95,1.85,ussr_gun_100_x2,0.875,1.045,0.95,1.85,,,,,,,,,,,,,,,,,,,
"gun_5_x3_russia_ca,bb,bc",,127,gun_5_x3,russia,"ca, bb, bc",tsesarevich_gun_152_x3,0.875,1.045,0.75,1.26,spee_gun_150_x3,0.875,1.04,0.75,1.48,spee_gun_150_x3,0.875,1.04,0.75,1.48,ussr_gun_100_x3,0.875,1.045,0.75,1.85,ussr_gun_100_x3,0.875,1.045,0.75,1.85,,,,,,,,,,,,,,,,,,,
"gun_5_x4_russia_ca,bb,bc",,127,gun_5_x4,russia,"ca, bb, bc",,,,0.68,,,,,0.68,,,,,0.68,,bismarck_gun_150_x4,0.725,0.8,0.68,1.855,bismarck_gun_150_x4,0.725,0.8,0.68,1.855,,,,,,,,,,,,,,,,,,,
"gun_6_x1_russia_ca,bb,bc",,152,gun_6_x1,russia,"ca, bb, bc",tsesarevich_gun_152_x1,1.050,1.22,1.185,1.2,spee_gun_150_x1,1.05,1.215,1.185,1.4,nelson_gun_152_x1,0.96,1.11,1.185,1.3,nelson_gun_152_x1,0.96,1.11,1.185,1.3,mont_gun_152_x1,1.050,1.22,1.185,1.28,,,,,,,,,,,,,,,,,,,
"gun_6_x2_russia_ca,bb,bc",,152,gun_6_x2,russia,"ca, bb, bc",tsesarevich_gun_152_x2,1.050,1.22,0.86,1.2,spee_gun_150_x2,1.05,1.215,0.86,1.4,nelson_gun_152_x2,0.96,1.11,0.86,1.3,nelson_gun_152_x2,0.96,1.11,0.86,1.3,mont_gun_152_x2,1.050,1.22,0.86,1.28,,,,,,,,,,,,,,,,,,,
"gun_6_x3_russia_ca,bb,bc",,152,gun_6_x3,russia,"ca, bb, bc",tsesarevich_gun_152_x3,1.050,1.22,0.66,1.2,spee_gun_150_x3,1.05,1.215,0.66,1.4,nelson_gun_152_x3,0.96,1.11,0.66,1.3,nelson_gun_152_x3,0.96,1.11,0.66,1.3,mont_gun_152_x3,1.050,1.22,0.66,1.28,,,,,,,,,,,,,,,,,,,
"gun_6_x4_russia_ca,bb,bc",,152,gun_6_x4,russia,"ca, bb, bc",,,,0.6,,,,,,,nelson_gun_152_x4,0.96,1.11,0.6,1.54,nelson_gun_152_x4,0.96,1.11,0.6,1.54,mont_gun_152_x4,1.050,1.22,0.6,1.28,,,,,,,,,,,,,,,,,,,
"gun_7_x1_russia_cl,ca,bb,bc",,178,gun_7_x1,russia,"cl, ca, bb, bc",tsesarevich_gun_152_x1,1.225,1.395,1.21,1.18,didox_gun_cal133_x1,1.05,1.19,1.21,1.68,de_Ruyter_gun_150_x1,1.5,1.675,1.21,1.275,de_Ruyter_gun_150_x1,1.5,1.675,1.21,1.275,de_Ruyter_gun_150_x1,1.5,1.675,1.21,1.275,,,,,,,,,,,,,,,,,,,
"gun_7_x2_russia_cl,ca,bb,bc",,178,gun_7_x2,russia,"cl, ca, bb, bc",tsesarevich_gun_152_x2,1.225,1.395,0.9,1.18,didox_gun_cal133_x2,1.05,1.19,0.9,1.68,de_Ruyter_gun_150_x2,1.5,1.675,0.9,1.275,de_Ruyter_gun_150_x2,1.5,1.675,0.9,1.275,de_Ruyter_gun_150_x2,1.5,1.675,0.9,1.275,,,,,,,,,,,,,,,,,,,
"gun_7_x3_russia_cl,ca,bb,bc",,178,gun_7_x3,russia,"cl, ca, bb, bc",tsesarevich_gun_152_x3,1.225,1.395,0.705,1.18,didox_gun_cal133_x3,1.05,1.19,0.705,1.68,de_Ruyter_gun_150_x3,1.5,1.675,0.705,1.275,de_Ruyter_gun_150_x3,1.5,1.675,0.705,1.275,de_Ruyter_gun_150_x3,1.5,1.675,0.705,1.275,,,,,,,,,,,,,,,,,,,
"gun_7_x4_russia_cl,ca,bb,bc",,178,gun_7_x4,russia,"cl, ca, bb, bc",,,,0.64,,didox_gun_cal133_x4,1.05,1.19,0.64,1.68,de_Ruyter_gun_150_x4,1.5,1.675,0.64,1.275,de_Ruyter_gun_150_x4,1.5,1.675,0.64,1.275,de_Ruyter_gun_150_x4,1.5,1.675,0.64,1.275,,,,,,,,,,,,,,,,,,,
"gun_8_x1_russia_ca,bb,bc",,203,gun_8_x1,russia,"ca, bb, bc",tsesarevich_gun_152_x1,1.4,1.57,1.17,1.14,didox_gun_cal133_x1,1.2,1.34,1.17,1.64,ussr_gun_406_x1,0.5,0.561,1.17,1.32,ussr_gun_406_x1,0.5,0.561,1.17,1.32,ussr_gun_406_x1,0.5,0.561,1.17,1.32,,,,,,,,,,,,,,,,,,,
"gun_8_x2_russia_ca,bb,bc",,203,gun_8_x2,russia,"ca, bb, bc",tsesarevich_gun_152_x2,1.4,1.57,0.88,1.14,didox_gun_cal133_x2,1.2,1.34,0.88,1.64,ussr_gun_406_x2,0.5,0.561,0.88,1.32,ussr_gun_406_x2,0.5,0.561,0.88,1.32,ussr_gun_406_x2,0.5,0.561,0.88,1.32,,,,,,,,,,,,,,,,,,,
"gun_8_x3_russia_ca,bb,bc",,203,gun_8_x3,russia,"ca, bb, bc",tsesarevich_gun_152_x3,1.4,1.57,0.69,1.14,didox_gun_cal133_x3,1.2,1.34,0.69,1.64,ussr_gun_406_x3,0.5,0.561,0.69,1.32,ussr_gun_406_x3,0.5,0.561,0.69,1.32,ussr_gun_406_x3,0.5,0.561,0.69,1.32,,,,,,,,,,,,,,,,,,,
"gun_8_x4_russia_ca,bb,bc",,203,gun_8_x4,russia,"ca, bb, bc",,,,,,didox_gun_cal133_x4,1.2,1.34,0.63,1.64,ussr_gun_406_x4,0.5,0.561,0.63,1.32,ussr_gun_406_x4,0.5,0.561,0.63,1.32,ussr_gun_406_x4,0.5,0.561,0.63,1.32,,,,,,,,,,,,,,,,,,,
"gun_9_x1_russia_ca,bb,bc",,229,gun_9_x1,russia,"ca, bb, bc",tsesarevich_gun_152_x1,1.575,1.745,1.1,1.12,didox_gun_cal133_x1,1.35,1.49,1.1,1.6,ussr_gun_406_x1,0.5625,0.6235,1.1,1.28,ussr_gun_406_x1,0.5625,0.6235,1.1,1.28,ussr_gun_406_x1,0.5625,0.6235,1.1,1.28,,,,,,,,,,,,,,,,,,,
"gun_9_x2_russia_ca,bb,bc",,229,gun_9_x2,russia,"ca, bb, bc",tsesarevich_gun_152_x2,1.575,1.745,0.82,1.12,didox_gun_cal133_x2,1.35,1.49,0.82,1.6,ussr_gun_406_x2,0.5625,0.6235,0.82,1.28,ussr_gun_406_x2,0.5625,0.6235,0.82,1.28,ussr_gun_406_x2,0.5625,0.6235,0.82,1.28,,,,,,,,,,,,,,,,,,,
"gun_9_x3_russia_ca,bb,bc",,229,gun_9_x3,russia,"ca, bb, bc",tsesarevich_gun_152_x3,1.575,1.745,0.64,1.12,didox_gun_cal133_x3,1.35,1.49,0.64,1.6,ussr_gun_406_x3,0.5625,0.6235,0.64,1.28,ussr_gun_406_x3,0.5625,0.6235,0.64,1.28,ussr_gun_406_x3,0.5625,0.6235,0.64,1.28,,,,,,,,,,,,,,,,,,,
"gun_9_x4_russia_ca,bb,bc",,229,gun_9_x4,russia,"ca, bb, bc",,,,,,didox_gun_cal133_x4,1.35,1.49,0.58,1.6,ussr_gun_406_x4,0.5625,0.6235,0.58,1.28,ussr_gun_406_x4,0.5625,0.6235,0.58,1.28,ussr_gun_406_x4,0.5625,0.6235,0.58,1.28,,,,,,,,,,,,,,,,,,,
"gun_10_x1_russia_ca,bb,bc",,254,gun_10_x1,russia,"ca, bb, bc",tsesarevich_gun_305_x1,1,1.09,1.2,1.06,didox_gun_cal133_x1,1.5,1.64,1.2,1.54,ussr_gun_406_x1,0.625,0.686,1.2,1.24,ussr_gun_406_x1,0.625,0.686,1.2,1.24,ussr_gun_406_x1,0.625,0.686,1.2,1.24,,,,,,,,,,,,,,,,,,,
"gun_10_x2_russia_ca,bb,bc",,254,gun_10_x2,russia,"ca, bb, bc",tsesarevich_gun_305_x2,1,1.09,0.9,1.06,didox_gun_cal133_x2,1.5,1.64,0.9,1.54,ussr_gun_406_x2,0.625,0.686,0.9,1.24,ussr_gun_406_x2,0.625,0.686,0.9,1.24,ussr_gun_406_x2,0.625,0.686,0.9,1.24,,,,,,,,,,,,,,,,,,,
"gun_10_x3_russia_ca,bb,bc",,254,gun_10_x3,russia,"ca, bb, bc",tsesarevich_gun_305_x3,1,1.09,0.68,1.06,didox_gun_cal133_x3,1.5,1.64,0.68,1.54,ussr_gun_406_x3,0.625,0.686,0.68,1.24,ussr_gun_406_x3,0.625,0.686,0.68,1.24,ussr_gun_406_x3,0.625,0.686,0.68,1.24,,,,,,,,,,,,,,,,,,,
"gun_10_x4_russia_ca,bb,bc",,254,gun_10_x4,russia,"ca, bb, bc",,,,,,didox_gun_cal133_x4,1.5,1.64,0.63,1.54,ussr_gun_406_x4,0.625,0.686,0.63,1.24,ussr_gun_406_x4,0.625,0.686,0.63,1.24,ussr_gun_406_x4,0.625,0.686,0.63,1.24,,,,,,,,,,,,,,,,,,,
"gun_11_x1_russia_ca,bb,bc",,279,gun_11_x1,russia,"ca, bb, bc",tsesarevich_gun_305_x1,1.1,1.19,1.07,0.84,dreadnought_gun_b_305_x1,1.05,1.13,1.07,1.09,yamato_gun_460_x1,0.495,0.535,1.07,1.14,spee_gun_280_x1_a,1.155,1.255,1.07,0.96,spee_gun_280_x1_a,1.155,1.255,1.07,1,,,,,,,,,,,,,,,,,,,
"gun_11_x2_russia_ca,bb,bc",,279,gun_11_x2,russia,"ca, bb, bc",tsesarevich_gun_305_x2,1.1,1.19,0.82,0.84,dreadnought_gun_b_305_x2,1.05,1.13,0.82,1.09,yamato_gun_460_x2,0.495,0.535,0.82,1.14,spee_gun_280_x2_a,1.155,1.255,0.82,0.96,spee_gun_280_x2_a,1.155,1.255,0.82,1,,,,,,,,,,,,,,,,,,,
"gun_11_x3_russia_ca,bb,bc",,279,gun_11_x3,russia,"ca, bb, bc",tsesarevich_gun_305_x3,1.1,1.19,0.66,0.84,dreadnought_gun_b_305_x3,1.05,1.13,0.66,1.09,yamato_gun_460_x3,0.495,0.535,0.66,1.14,spee_gun_280_x3_a,1.155,1.255,0.66,0.96,spee_gun_280_x3_a,1.155,1.255,0.66,1,,,,,,,,,,,,,,,,,,,
"gun_11_x4_russia_ca,bb,bc",,279,gun_11_x4,russia,"ca, bb, bc",,,,,,dreadnought_gun_b_305_x4,1.05,1.13,0.61,1.09,yamato_gun_460_x4,0.495,0.535,0.61,1.14,spee_gun_280_x4_a,1.155,1.255,0.61,0.96,spee_gun_280_x4_a,1.155,1.255,0.61,1,,,,,,,,,,,,,,,,,,,
"gun_12_x1_russia_bb,bc",,305,gun_12_x1,russia,"bb, bc",tsesarevich_gun_305_x1,1.2,1.29,1.07,0.84,dreadnought_gun_b_305_x1,1.14,1.22,1.07,1.1,yamato_gun_460_x1,0.54,0.58,1.07,1.14,spee_gun_280_x1_a,1.26,1.36,1.07,0.96,spee_gun_280_x1_a,1.26,1.36,1.07,1,,,,,,,,,,,,,,,,,,,
"gun_12_x2_russia_bb,bc",,305,gun_12_x2,russia,"bb, bc",tsesarevich_gun_305_x2,1.2,1.29,0.82,0.84,dreadnought_gun_b_305_x2,1.14,1.22,0.82,1.1,yamato_gun_460_x2,0.54,0.58,0.82,1.14,spee_gun_280_x2_a,1.26,1.36,0.82,0.96,spee_gun_280_x2_a,1.26,1.36,0.82,1,,,,,,,,,,,,,,,,,,,
"gun_12_x3_russia_bb,bc",,305,gun_12_x3,russia,"bb, bc",tsesarevich_gun_305_x3,1.2,1.29,0.66,0.84,dreadnought_gun_b_305_x3,1.14,1.22,0.66,1.1,yamato_gun_460_x3,0.54,0.58,0.66,1.14,spee_gun_280_x3_a,1.26,1.36,0.66,0.96,spee_gun_280_x3_a,1.26,1.36,0.66,1,,,,,,,,,,,,,,,,,,,
"gun_12_x4_russia_bb,bc",,305,gun_12_x4,russia,"bb, bc",,,,,,dreadnought_gun_b_305_x4,1.14,1.22,0.61,1.1,yamato_gun_460_x4,0.54,0.58,0.61,1.14,spee_gun_280_x4_a,1.26,1.36,0.61,0.96,spee_gun_280_x4_a,1.26,1.36,0.61,1,,,,,,,,,,,,,,,,,,,
"gun_13_x1_russia_bb,bc",,330,gun_13_x1,russia,"bb, bc",tsesarevich_gun_305_x1,1.3,1.39,1.13,0.84,dreadnought_gun_b_305_x1,1.23,1.31,1.13,1.09,yamato_gun_460_x1,0.585,0.625,1.13,1.13,spee_gun_280_x1_a,1.365,1.465,1.13,0.96,spee_gun_280_x1_a,1.365,1.465,1.13,1,,,,,,,,,,,,,,,,,,,
"gun_13_x2_russia_bb,bc",,330,gun_13_x2,russia,"bb, bc",tsesarevich_gun_305_x2,1.3,1.39,0.88,0.84,dreadnought_gun_b_305_x2,1.23,1.31,0.88,1.09,yamato_gun_460_x2,0.585,0.625,0.88,1.13,spee_gun_280_x2_a,1.365,1.465,0.88,0.96,spee_gun_280_x2_a,1.365,1.465,0.88,1,,,,,,,,,,,,,,,,,,,
"gun_13_x3_russia_bb,bc",,330,gun_13_x3,russia,"bb, bc",tsesarevich_gun_305_x3,1.3,1.39,0.705,0.84,dreadnought_gun_b_305_x3,1.23,1.31,0.705,1.09,yamato_gun_460_x3,0.585,0.625,0.705,1.13,spee_gun_280_x3_a,1.365,1.465,0.705,0.96,spee_gun_280_x3_a,1.365,1.465,0.705,1,,,,,,,,,,,,,,,,,,,
