@name,nameUi,area,controller,controller_1890,controller_1900,controller_1910,controller_1920,controller_1930,controller_1940,claim,isHome,type,development,port,population,oilDiscoveryYear,oilDiscoveryBaseChance,oilCapacity,oilReservesInTurns,revoltChance,provinceArmyPercentage,ProvinceDefenderBonus,neighbour_provinces
fezzan-ghadames,Fezzan-Ghadames,medit3,greece,greece,greece,greece,italy,italy,italy,libya,0,colony,2,25000,-1,1925,7,750,1000,15,0299999993,1.5,"chad, cyrenaica, niger, southern_algeria, tripolitania"
northern_algeria,Northern Algeria,medit2,france,france,france,france,france,france,france,algeria,0,colony,4,4000,-1,1930,5,200,100,7,0125000002,2,"morocco, southern_algeria, tripolitania, tunisia"
southern_algeria,Southern Algeria,medit2,france,france,france,france,france,france,france,algeria,0,colony,1.5,4000,-1,1930,2,300,100,7,0125000002,2,"fezzan-ghadames, french_sudan, mauritania, morocco, niger, northern_algeria, tripolitania, tunisia, western_sahara"
north_egypt,Northern Egypt,medit,britain,britain,britain,britain,britain,britain,britain,egypt,0,colony,12,45000,-1,1890,100,950,1000,15,0299999993,1.5,"cyrenaica, palestine"
south_egypt,Southern Egypt,red_sea,britain,britain,britain,britain,britain,britain,britain,egypt,0,colony,8,25000,-1,1912,10,450,1000,15,0299999993,1.5,"cyrenaica, sudan"
north_brazil,Northern Brazil,c_atlantic,portugal,portugal,portugal,portugal,portugal,portugal,portugal,brazil,1,colony,7.5,45000,-1,1930,5,800,300,7,0299999993,2,"bolivia, british_guiana, french_guiana, peru, south_brazil, southern_colombia, suriname, venezuela"
south_brazil,Southern Brazil,s_am_east,portugal,portugal,portugal,portugal,portugal,portugal,portugal,brazil,1,colony,9.5,45000,-1,1930,5,800,300,7,0299999993,2,"argentina, argentina,, bolivia, north_brazil, paraguay, peru, uruguay"
eastern_sweden,Eastern Sweden,baltic,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,sweden,0,home,6,75000,-1,-1,0,0,0,7,0390000008,3,"northern_finland, northern_norway, southern_norway, western_sweden"
western_sweden,Western Sweden,n_sea,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,sweden,0,home,6,75000,-1,-1,0,0,0,7,0390000008,3,"eastern_sweden, southern_norway"
northern_norway,Northern Norway,arctic,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,norway,0,home,6,60000,-1,1930,5,200,150,7,0549999997,3,"eastern_sweden, northern_finland, southern_norway"
southern_norway,Southern Norway,n_sea,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,norway,0,home,6,60000,-1,1930,5,200,150,7,0500000007,3,"eastern_sweden, northern_norway, western_sweden"
eastern_denmark,Eastern Denmark,baltic,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,denmark,0,home,5,40000,-1,1925,2,200,100,5,0299999993,4,"eastern_germany, western_denmark, western_germany"
western_denmark,Western Denmark,n_sea,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,denmark,0,home,4.5,30000,-1,1925,2,200,100,5,0299999993,4,"eastern_denmark, eastern_germany, western_germany"
northern_finland,Northern Finland,baltic,russia,russia,russia,russia,scandinavia,scandinavia,scandinavia,finland,0,colony,3,40000,-1,1930,3,400,100,7,0299999993,3,"eastern_sweden, northern_norway, northern_russia, southern_finland"
southern_finland,Southern Finland,baltic,russia,russia,russia,russia,scandinavia,scandinavia,scandinavia,finland,0,colony,4,40000,-1,1930,3,400,100,7,0299999993,3,"central_russia, northern_finland, northern_russia"
northern_russia,Northern Russia,arctic,russia,russia,russia,russia,russia,russia,russia,russia,1,home,4,150000,-1,1925,15,1000,2500,7,0299999993,3,"belarus, central_russia, esthonia, kazakhstan, latvia, northern_finland, siberian_russia, southern_finland, southern_russia, ukraine"
crimaia,Crimea,b_sea,russia,russia,russia,russia,russia,russia,russia,ukraine,1,colony,5,90000,-1,1930,1,900,200,7,0299999993,2,ukraine
new_foundland,Newfoundland,labrador_sea,britain,britain,britain,britain,britain,britain,britain,canada,0,colony,5,30000,-1,-1,0,0,0,2.5,0125000002,2,"canadian_prairies, central_canada"
west_phillipinnes,West Philippines,se_asia,spain,spain,usa,usa,usa,usa,usa,phillipinnes,0,colony,5,35000,-1,1895,4,100,100,7,0125000002,2,
east_phillipinnes,East Philippines,philip_sea,spain,spain,usa,usa,usa,usa,usa,phillipinnes,0,colony,4,35000,-1,1895,4,100,100,7,0125000002,2,
portuguese_congo,Portuguese Congo,w_africa,portugal,portugal,portugal,portugal,portugal,portugal,portugal,congo,0,colony,1.20000005,12000,-1,1930,1,100,100,7,0125000002,2,"congo_free_state, middle_congo"
swaziland,Swaziland,indian_west,britain,britain,britain,britain,britain,britain,britain,swaziland,0,colony,1.29999995,0,-1,-1,0,0,0,15,00499999989,2,"south_africa, transvaal"
basutoland,Basutoland,indian_west,britain,britain,britain,britain,britain,britain,britain,lesotho,0,colony,1.20000005,0,-1,-1,0,0,0,15,00499999989,2,"orange_free_state, south_africa"
rwanda,Rwanda,indian_west,germany,germany,germany,germany,britain,britain,britain,rwanda,0,colony,1.20000005,1000,-1,1930,1,100,70,2.5,0125000002,2,"burundi, congo_free_state, tanganyika, uganda"
burundi,Burundi,indian_west,germany,germany,germany,germany,britain,britain,britain,rwanda,0,colony,1.10000002,1000,-1,1930,1,100,70,2.5,0125000002,2,"congo_free_state, rwanda, tanganyika"
esthonia,Estonia,baltic,russia,russia,russia,russia,russia,russia,russia,esthonia,1,colony,2.5,120000,-1,-1,0,0,0,5,0299999993,2,"central_russia, latvia, northern_russia"
timor,Timor,indonesian_sea,portugal,portugal,portugal,portugal,portugal,portugal,portugal,timor,0,colony,1.75,35000,-1,-1,0,0,0,2.5,0125000002,2,
north-east_frontier,North-East Frontier,benghal_sea,britain,britain,britain,britain,britain,britain,britain,india,0,colony,1.25,0,-1,-1,0,0,0,2,0125000002,6,"bhutan, burma, eastern_india, northern_india, tibet"
faroe_islands,Faroe Islands,n_sea,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,scandinavia,denmark,0,colony,0.25,10000,-1,-1,0,0,0,00999999978,0299999993,4,
shetland,Shetland,n_sea,britain,britain,britain,britain,britain,britain,britain,scotland,0,home,0.150000006,10000,-1,-1,0,0,0,00999999978,0299999993,4,
balearic_islands,Balearic Islands,medit2,spain,spain,spain,spain,spain,spain,spain,spain,1,home,1,15000,-1,-1,0,0,0,2.5,0125000002,2,
kosovo,Kosovo,adriatic,greece,greece,greece,greece,austria,austria,austria,serbia,0,colony,2,0,-1,-1,0,0,0,7,0199999996,2.5,"albania, central_balkans, montenegro, serbia"
british_honduras,Guatemala,s_am_west,spain,spain,spain,spain,spain,spain,spain,british_honduras,0,colony,3.20000005,15000,-1,-1,0,0,0,7,0125000002,2,"belize, eastern_mexico, el_salvador, honduras, southwest_mexico"
belize,Belize,caribbean,britain,britain,britain,britain,britain,britain,britain,belize,0,colony,1.60000002,15000,-1,-1,0,0,0,7,0125000002,2,"british_honduras, eastern_mexico"
el_salvador,El Salvador,s_am_west,spain,spain,spain,spain,spain,spain,spain,salvador_c,0,colony,1.39999998,15000,-1,-1,0,0,0,7,0125000002,2,"british_honduras, honduras"
poland,Western Poland,baltic,germany,germany,germany,germany,germany,germany,germany,poland,1,colony,14,0,-1,-1,0,0,0,2.5,0299999993,2,"bohemia-moravia, eastern_germany, eastern_poland, prussia"
eastern_poland,Eastern Poland,baltic,russia,russia,russia,russia,russia,russia,russia,poland,1,colony,10,0,-1,-1,0,0,0,2.5,0299999993,2,"belarus, bohemia-moravia, galicia, poland, prussia, ukraine"
western_mexico,Northwest Mexico,n_am_west,spain,spain,spain,spain,spain,spain,spain,mexico,0,colony,4.5,10000,-1,1920,4,800,400,2.5,0125000002,2,"eastern_mexico, gulf_coast, western_usa"
northeast_mexico,Northeast Mexico,mex_coast,spain,spain,spain,spain,spain,spain,spain,mexico,0,colony,6.5,10000,-1,1920,2,800,400,2.5,0125000002,2,"eastern_mexico, gulf_coast, southwest_mexico, western_usa"
eastern_mexico,Southeast Mexico,mex_coast,spain,spain,spain,spain,spain,spain,spain,mexico,0,colony,6.5,25000,-1,1925,5,900,500,7,0125000002,2,"belize, british_honduras, northeast_mexico, western_mexico"
southwest_mexico,Southwest Mexico,n_am_west,spain,spain,spain,spain,spain,spain,spain,mexico,0,colony,3.5,15000,-1,1925,5,900,500,7,0125000002,2,"british_honduras, northeast_mexico"
southern_siberia,Southern Siberia,οkhotsk_sea,russia,russia,russia,russia,russia,russia,russia,russia,1,home,0.400000006,0,-1,1930,1,1000,500,2.5,0125000002,5,"eastern_siberia, kamchatka, russian_far_east, siberian_russia"
